Date,Open,High,Low,Close,Volume,Adj Close
2013-07-01,473.0,474.0,458.0,465.0,5415000,465.0
2013-07-02,471.0,476.0,465.0,476.0,5730500,476.0
2013-07-03,475.0,481.0,473.0,479.0,4477000,479.0
2013-07-04,474.0,478.0,470.0,471.0,3258000,471.0
2013-07-05,473.0,486.0,473.0,486.0,4196000,486.0
2013-07-08,499.0,500.0,476.0,480.0,5036000,480.0
2013-07-09,487.0,490.0,481.0,484.0,5296000,484.0
2013-07-10,487.0,495.0,485.0,491.0,5503000,491.0
2013-07-11,485.0,488.0,473.0,482.0,5082500,482.0
2013-07-12,482.0,494.0,482.0,488.0,5153500,488.0
2013-07-16,492.0,494.0,488.0,494.0,3855000,494.0
2013-07-17,489.0,499.0,488.0,498.0,4511500,498.0
2013-07-18,500.0,508.0,499.0,506.0,5548500,506.0
2013-07-19,511.0,513.0,488.0,491.0,7056000,491.0
2013-07-22,495.0,495.0,484.0,491.0,4786500,491.0
2013-07-23,488.0,502.0,485.0,497.0,5238500,497.0
2013-07-24,495.0,501.0,492.0,500.0,3427500,500.0
2013-07-25,501.0,501.0,490.0,491.0,4339500,491.0
2013-07-26,486.0,488.0,478.0,478.0,4987500,478.0
2013-07-29,469.0,469.0,454.0,456.0,4952500,456.0
2013-07-30,457.0,476.0,456.0,472.0,5934500,472.0
2013-07-31,470.0,470.0,457.0,461.0,6436500,461.0
2013-08-01,459.0,482.0,459.0,476.0,8655000,476.0
2013-08-02,487.0,496.0,481.0,495.0,6458500,495.0
2013-08-05,491.0,495.0,486.0,493.0,3926000,493.0
2013-08-06,491.0,497.0,484.0,497.0,4767500,497.0
2013-08-07,489.0,489.0,478.0,479.0,6204000,479.0
2013-08-08,476.0,482.0,467.0,470.0,4745500,470.0
2013-08-09,470.0,473.0,464.0,471.0,5860500,471.0
2013-08-12,469.0,483.0,467.0,481.0,5590000,481.0
2013-08-13,484.0,486.0,476.0,486.0,4050000,486.0
2013-08-14,489.0,496.0,486.0,496.0,4601000,496.0
2013-08-15,490.0,497.0,488.0,491.0,4600500,491.0
2013-08-16,486.0,491.0,485.0,488.0,4685500,488.0
2013-08-19,484.0,484.0,471.0,477.0,5631000,477.0
2013-08-20,472.0,480.0,469.0,469.0,4231000,469.0
2013-08-21,469.0,472.0,461.0,466.0,4852000,466.0
2013-08-22,462.0,470.0,460.0,467.0,3300000,467.0
2013-08-23,475.0,480.0,473.0,477.0,3797000,477.0
2013-08-26,478.0,482.0,473.0,480.0,3206000,480.0
2013-08-27,474.0,485.0,474.0,481.0,3023000,481.0
2013-08-28,469.0,475.0,462.0,472.0,4539000,472.0
2013-08-29,471.0,475.0,468.0,472.0,4118000,472.0
2013-08-30,475.0,478.0,462.0,464.0,5461000,464.0
2013-09-02,464.0,466.0,458.0,460.0,4299000,460.0
2013-09-03,467.0,477.0,467.0,473.0,4130000,473.0
2013-09-04,467.0,475.0,464.0,474.0,4257000,474.0
2013-09-05,478.0,480.0,469.0,471.0,4298500,471.0
2013-09-06,471.0,472.0,463.0,470.0,4643000,470.0
2013-09-09,476.0,480.0,468.0,472.0,4859500,472.0
2013-09-10,473.0,476.0,468.0,470.0,5507500,470.0
2013-09-11,474.0,476.0,469.0,471.0,5268000,471.0
2013-09-12,470.0,470.0,466.0,468.0,3634000,468.0
2013-09-13,463.0,471.0,460.0,464.0,6175500,464.0
2013-09-17,466.0,468.0,463.0,464.0,3887000,464.0
2013-09-18,466.0,474.0,465.0,469.0,5725000,469.0
2013-09-19,473.0,475.0,469.0,475.0,5882500,475.0
2013-09-20,475.0,476.0,468.0,472.0,6298500,472.0
