,max,min,val_of_30day,max_after_30day,target,length
1475,2870.0,2340.0,2720.0,2870.0,1.05514705882,50.0
1476,6284.0,5589.0,5911.0,6284.0,1.0,46.0
1477,1530.0,1267.0,1434.0,1530.0,1.0,58.0
1478,3400.0,2980.0,3125.0,3400.0,1.088,61.0
1479,4065.0,2706.0,3625.0,4065.0,1.12137931034,62.0
1480,878.33,783.33,848.33,878.33,1.03536359671,48.0
1481,634.0,470.0,556.0,634.0,1.14028776978,68.0
1482,2320.0,1890.0,2235.0,2320.0,1.0,46.0
1483,2488.0,1983.0,2313.0,2488.0,1.0,54.0
1484,1703.0,1404.0,1537.0,1606.0,1.0,42.0
1485,976.0,778.0,851.0,976.0,1.0,78.0
1486,2700.0,2003.0,2557.0,2700.0,1.05592491201,73.0
1487,867.0,650.0,740.0,867.0,1.17162162162,62.0
1488,4447.0,3914.0,4268.0,4447.0,1.04194001874,57.0
1489,453.0,412.0,449.0,451.0,1.0,46.0
1490,3485.0,3060.0,3310.0,3330.0,1.0,34.0
1491,1240.0,1110.0,1139.0,1240.0,1.08867427568,54.0
1492,3820.0,2472.0,3760.0,3760.0,1.0,52.0
1493,259.0,227.0,249.0,257.0,1.0,40.0
1494,988.0,811.0,936.0,988.0,1.0,73.0
1495,459.0,305.0,408.0,459.0,1.0,63.0
1496,1022.0,896.0,972.0,1022.0,1.05144032922,58.0
1497,3195.0,2770.0,3160.0,3195.0,1.01107594937,45.0
1498,6518.0,5865.0,6350.0,6468.0,1.0,41.0
1499,295.0,244.0,272.0,272.0,1.0,44.0
1500,4916.5,4109.0,4794.5,4916.5,1.02544582334,58.0
1501,1941.0,1677.0,1805.0,1805.0,1.0,32.0
1502,917.8,706.0,784.0,917.8,1.17066326531,108.0
1503,7817.0,7459.0,7692.0,7753.0,1.0,37.0
1504,1252.0,854.0,1060.0,1252.0,1.0,72.0
1505,1081.0,761.0,966.0,1081.0,1.11904761905,65.0
1506,2502.0,1720.0,1777.5,2502.0,1.40759493671,103.0
1507,4390.0,3305.0,4025.0,4390.0,1.0,51.0
1508,673.0,459.0,505.0,673.0,1.33267326733,107.0
1509,5961.0,4776.0,5932.0,5961.0,1.00488873904,49.0
1510,1372.0,1204.5,1317.0,1317.0,1.0,39.0
1511,382.0,222.0,380.0,382.0,1.00526315789,58.0
1512,2245.0,1870.0,2060.0,2060.0,1.0,32.0
1513,3470.0,2979.0,3395.0,3415.0,1.0058910162,49.0
1514,2111.0,1902.0,1935.0,1935.0,1.0,31.0
1515,2478.0,2301.0,2444.0,2478.0,1.0,38.0
1516,2000.0,1427.0,1780.0,2000.0,1.0,70.0
1517,340.0,304.0,321.0,340.0,1.05919003115,55.0
1518,3230.0,2370.0,2700.0,3120.0,1.15555555556,39.0
1519,577.0,463.0,525.0,577.0,1.0,63.0
1520,3875.0,2481.0,2851.0,3875.0,1.35917222027,114.0
1521,4490.0,3330.0,3675.0,3875.0,1.0,36.0
1522,2398.0,1904.0,2141.0,2398.0,1.0,100.0
1523,3060.0,2530.0,2595.0,2595.0,1.0,31.0
1524,542.0,463.0,526.0,532.0,1.0,50.0
1525,902.0,784.0,887.0,902.0,1.0,49.0
1526,1839.0,1324.0,1659.0,1730.0,1.0,46.0
1527,1026.0,732.0,950.0,1026.0,1.0,58.0
1528,542.0,507.0,520.0,520.0,1.0,32.0
1529,2071.0,1737.0,2025.0,2032.0,1.00345679012,40.0
1530,321.0,236.0,292.0,321.0,1.0,61.0
1531,196.0,150.0,186.0,196.0,1.0,64.0
1532,743.0,605.0,742.0,743.0,1.0,46.0
1533,977.0,612.0,904.0,977.0,1.08075221239,58.0
1534,680.0,577.0,660.0,680.0,1.0303030303,52.0
1535,8800.0,5320.0,5730.0,8800.0,1.53577661431,122.0
1536,445.0,309.0,385.0,445.0,1.15584415584,70.0
1537,313.0,301.0,303.0,310.0,1.02310231023,38.0
1538,2725.0,2160.0,2515.0,2515.0,1.0,34.0
1539,9070.0,7450.0,8990.0,8990.0,1.0,39.0
1540,2429.0,1765.0,2105.0,2429.0,1.1539192399,70.0
1541,507.0,405.0,454.0,507.0,1.0,52.0
1542,83.0,72.0,78.0,83.0,1.0,41.0
1543,242.0,206.0,228.0,242.0,1.0,53.0
1544,2945.0,2340.0,2815.0,2880.0,1.02309058615,51.0
1545,499.0,411.0,489.0,499.0,1.0,46.0
1546,648.0,568.0,639.0,639.0,1.0,49.0
1547,1009.0,934.0,989.0,1009.0,1.0,53.0
1548,1643.0,1512.0,1589.0,1633.0,1.0276903713,39.0
1549,1024.0,900.0,1018.0,1024.0,1.00589390963,45.0
1550,528.0,457.0,471.0,528.0,1.0,47.0
1551,375.0,295.0,374.0,375.0,1.0,45.0
1552,1266.0,802.0,940.0,1266.0,1.34680851064,109.0
1553,623.0,516.0,592.0,623.0,1.0,56.0
1554,364.0,299.0,329.0,364.0,1.0,60.0
1555,1656.0,1280.0,1428.0,1455.0,1.01890756303,35.0
1556,1490.0,1180.0,1380.0,1490.0,1.07971014493,42.0
1557,260.0,221.0,249.0,252.0,1.0,39.0
1558,934.71,814.88,898.35,934.71,1.0404742027,54.0
1559,1109.0,823.0,908.0,1109.0,1.0,86.0
